city_ibge_code,city_2,estimated_population,estimated_population_2019,UF
1200401,Rio Branco,413418,407319,AC
1200013,Acrelandia,15490,15256,AC
1200807,Porto Acre,18824,18504,AC
1200385,Placido de Castro,19955,19761,AC
1200138,Bujari,10420,10266,AC
1200203,Cruzeiro do Sul,89072,88376,AC
1200450,Senador Guiomard,23236,23024,AC
1200336,Mancio Lima,19311,18977,AC
1200708,Xapuri,19596,19323,AC
1200054,Assis Brasil,7534,7417,AC
1200302,Feijo,34884,34780,AC
1200609,Tarauaca,43151,42567,AC
1200500,Sena Madureira,46511,45848,AC
1200252,Epitaciolandia,18696,18411,AC
1200179,Capixaba,12008,11733,AC
1200435,Santa Rosa do Purus,6717,6540,AC
1200104,Brasileia,26702,26278,AC
1200351,Marechal Thaumaturgo,19299,18867,AC
1200427,Rodrigues Alves,19351,18930,AC
1200344,Manoel Urbano,9581,9459,AC
1200393,Porto Walter,12241,11982,AC
1200328,Jordao,8473,8317,AC
2704302,Maceio,1025360,1018948,AL
2707503,Porto Real do Colegio,20112,20066,AL
