date,epidemiological_week
2020-03-17,202012
2020-03-18,202012
2020-03-19,202012
2020-03-20,202012
2020-03-21,202012
2020-03-22,202013
2020-03-23,202013
2020-03-24,202013
2020-03-25,202013
2020-03-26,202013
2020-03-27,202013
2020-03-28,202013
2020-03-29,202014
2020-03-30,202014
2020-03-31,202014
2020-04-01,202014
2020-04-02,202014
2020-04-03,202014
2020-04-04,202014
2020-04-05,202015
2020-04-06,202015
2020-04-07,202015
2020-04-08,202015
2020-04-09,202015
2020-04-10,202015
2020-04-11,202015
2020-04-12,202016
2020-04-13,202016
2020-04-14,202016
2020-04-15,202016
2020-04-16,202016
2020-04-17,202016
2020-04-18,202016
2020-04-19,202017
2020-04-20,202017
2020-04-21,202017
2020-04-22,202017
2020-04-23,202017
2020-04-24,202017
2020-04-25,202017
2020-04-26,202018
2020-04-27,202018
2020-04-28,202018
2020-04-29,202018
2020-04-30,202018
2020-05-01,202018
2020-05-02,202018
2020-05-03,202019
2020-05-04,202019
2020-05-05,202019
2020-05-06,202019
2020-05-07,202019
2020-05-08,202019
2020-05-09,202019
2020-05-10,202020
2020-05-11,202020
2020-05-12,202020
2020-05-13,202020
2020-05-14,202020
2020-05-15,202020
2020-05-16,202020
2020-05-17,202021
2020-05-18,202021
2020-05-19,202021
2020-05-20,202021
2020-05-21,202021
2020-05-22,202021
2020-05-23,202021
2020-05-24,202022
2020-05-25,202022
2020-05-26,202022
2020-05-27,202022
2020-05-28,202022
2020-05-29,202022
2020-05-30,202022
2020-05-31,202023
2020-06-01,202023
2020-06-02,202023
2020-06-03,202023
2020-06-04,202023
2020-06-05,202023
2020-06-06,202023
2020-06-07,202024
2020-06-08,202024
2020-06-09,202024
2020-06-10,202024
2020-06-11,202024
2020-06-12,202024
2020-06-13,202024
2020-06-14,202025
2020-06-15,202025
2020-06-16,202025
2020-06-17,202025
2020-06-18,202025
2020-06-19,202025
2020-06-20,202025
2020-06-21,202026
2020-06-22,202026
2020-06-23,202026
2020-06-24,202026
2020-06-25,202026
2020-06-26,202026
2020-06-27,202026
2020-06-28,202027
2020-06-29,202027
2020-06-30,202027
2020-07-01,202027
2020-07-02,202027
2020-07-03,202027
2020-07-04,202027
2020-07-05,202028
2020-07-06,202028
2020-07-07,202028
2020-07-08,202028
2020-07-09,202028
2020-07-10,202028
2020-07-11,202028
2020-07-12,202029
2020-07-13,202029
2020-07-14,202029
2020-07-15,202029
2020-07-16,202029
2020-07-17,202029
2020-07-18,202029
2020-07-19,202030
2020-07-20,202030
2020-07-21,202030
2020-07-22,202030
2020-07-23,202030
2020-07-24,202030
2020-07-25,202030
2020-07-26,202031
2020-07-27,202031
2020-07-28,202031
2020-07-29,202031
2020-07-30,202031
2020-07-31,202031
2020-08-01,202031
2020-08-02,202032
2020-08-03,202032
2020-08-04,202032
2020-08-05,202032
2020-08-06,202032
2020-08-07,202032
2020-08-08,202032
2020-08-09,202033
2020-08-10,202033
2020-08-11,202033
2020-08-12,202033
2020-08-13,202033
2020-08-14,202033
2020-08-15,202033
2020-08-16,202034
2020-08-17,202034
2020-08-18,202034
2020-08-19,202034
2020-08-20,202034
2020-08-21,202034
2020-08-22,202034
2020-08-23,202035
2020-08-24,202035
2020-08-25,202035
2020-08-26,202035
2020-08-27,202035
2020-08-28,202035
2020-08-29,202035
2020-08-30,202036
2020-08-31,202036
2020-09-01,202036
2020-09-02,202036
2020-09-03,202036
2020-09-04,202036
2020-09-05,202036
2020-09-06,202037
2020-09-07,202037
2020-09-08,202037
2020-09-09,202037
2020-09-10,202037
2020-09-11,202037
2020-09-12,202037
2020-09-13,202038
2020-09-14,202038
2020-09-15,202038
2020-09-16,202038
2020-09-17,202038
2020-09-18,202038
2020-09-19,202038
2020-09-20,202039
2020-09-21,202039
2020-09-22,202039
2020-09-23,202039
2020-09-24,202039
2020-09-25,202039
2020-09-26,202039
2020-09-27,202040
2020-09-28,202040
2020-09-29,202040
2020-09-30,202040
2020-10-01,202040
2020-10-02,202040
2020-10-03,202040
2020-10-04,202041
2020-10-05,202041
2020-10-06,202041
2020-10-07,202041
2020-10-08,202041
2020-10-09,202041
2020-10-10,202041
2020-10-11,202042
2020-10-12,202042
2020-10-13,202042
2020-10-14,202042
2020-10-15,202042
2020-10-16,202042
2020-10-17,202042
2020-10-18,202043
2020-10-19,202043
2020-10-20,202043
2020-10-21,202043
2020-10-22,202043
2020-10-23,202043
2020-10-24,202043
2020-10-25,202044
