mes,ano,date_key,date
1,2021,0,2021-01-01
2,2021,1,2021-02-01
3,2021,2,2021-03-01
4,2021,3,2021-04-01
5,2021,4,2021-05-01
6,2021,5,2021-06-01
7,2021,6,2021-07-01
8,2021,7,2021-08-01
9,2021,8,2021-09-01
10,2021,9,2021-10-01
11,2021,10,2021-11-01
12,2021,11,2021-12-01
1,2022,12,2022-01-01
2,2022,13,2022-02-01
3,2022,14,2022-03-01
4,2022,15,2022-04-01
5,2022,16,2022-05-01
6,2022,17,2022-06-01
7,2022,18,2022-07-01
8,2022,19,2022-08-01
9,2022,20,2022-09-01
10,2022,21,2022-10-01
11,2022,22,2022-11-01
12,2022,23,2022-12-01
