city_ibge_code,date,new_confirmed,new_deaths,place_type
1200401,2020-03-17,3,0,city
12,2020-03-17,3,0,state
1200401,2020-03-18,0,0,city
12,2020-03-18,0,0,state
1200401,2020-03-19,1,0,city
12,2020-03-19,1,0,state
1200401,2020-03-20,3,0,city
12,2020-03-20,3,0,state
1200401,2020-03-21,4,0,city
12,2020-03-21,4,0,state
1200401,2020-03-22,0,0,city
12,2020-03-22,0,0,state
1200401,2020-03-23,6,0,city
12,2020-03-23,6,0,state
1200401,2020-03-24,4,0,city
12,2020-03-24,4,0,state
1200401,2020-03-25,2,0,city
12,2020-03-25,2,0,state
1200401,2020-03-26,0,0,city
12,2020-03-26,0,0,state
1200401,2020-03-27,2,0,city
12,2020-03-27,2,0,state
1200401,2020-03-28,0,0,city
12,2020-03-28,0,0,state
1200013,2020-03-29,2,0,city
1200807,2020-03-29,1,0,city
1200401,2020-03-29,6,0,city
12,2020-03-29,9,0,state
1200013,2020-03-30,4,0,city
1200807,2020-03-30,0,0,city
1200401,2020-03-30,3,0,city
12,2020-03-30,7,0,state
1200013,2020-03-31,1,0,city
1200807,2020-03-31,0,0,city
1200401,2020-03-31,0,0,city
12,2020-03-31,1,0,state
1200013,2020-04-01,1,0,city
1200807,2020-04-01,0,0,city
1200401,2020-04-01,0,0,city
12,2020-04-01,1,0,state
1200013,2020-04-02,0,0,city
1200807,2020-04-02,0,0,city
1200401,2020-04-02,2,0,city
12,2020-04-02,2,0,state
1200013,2020-04-03,1,0,city
1200807,2020-04-03,0,0,city
1200401,2020-04-03,0,0,city
12,2020-04-03,1,0,state
1200013,2020-04-04,0,0,city
1200807,2020-04-04,0,0,city
1200401,2020-04-04,0,0,city
12,2020-04-04,0,0,state
1200013,2020-04-05,0,0,city
1200807,2020-04-05,0,0,city
1200401,2020-04-05,2,0,city
12,2020-04-05,2,0,state
1200013,2020-04-06,0,0,city
1200385,2020-04-06,1,0,city
1200807,2020-04-06,0,0,city
1200401,2020-04-06,1,1,city
12,2020-04-06,2,1,state
1200013,2020-04-07,0,0,city
1200385,2020-04-07,0,0,city
1200807,2020-04-07,0,0,city
1200401,2020-04-07,0,1,city
12,2020-04-07,0,1,state
1200013,2020-04-08,0,0,city
1200138,2020-04-08,1,0,city
1200385,2020-04-08,1,0,city
1200807,2020-04-08,0,0,city
1200401,2020-04-08,6,0,city
12,2020-04-08,8,0,state
1200013,2020-04-09,0,0,city
1200138,2020-04-09,0,0,city
1200385,2020-04-09,1,0,city
1200807,2020-04-09,0,0,city
1200401,2020-04-09,3,0,city
12,2020-04-09,4,0,state
1200013,2020-04-10,0,0,city
1200138,2020-04-10,0,0,city
1200385,2020-04-10,1,0,city
1200807,2020-04-10,0,0,city
1200401,2020-04-10,7,0,city
12,2020-04-10,8,0,state
1200013,2020-04-11,0,0,city
1200138,2020-04-11,0,0,city
1200385,2020-04-11,0,0,city
1200807,2020-04-11,0,0,city
1200401,2020-04-11,2,0,city
12,2020-04-11,2,0,state
1200013,2020-04-12,1,0,city
1200138,2020-04-12,0,0,city
1200385,2020-04-12,1,0,city
1200807,2020-04-12,0,0,city
1200401,2020-04-12,3,0,city
12,2020-04-12,5,0,state
1200013,2020-04-13,1,0,city
1200138,2020-04-13,0,0,city
1200203,2020-04-13,2,0,city
1200385,2020-04-13,2,0,city
1200807,2020-04-13,0,0,city
1200401,2020-04-13,8,1,city
12,2020-04-13,13,1,state
1200013,2020-04-14,0,0,city
1200138,2020-04-14,0,0,city
1200203,2020-04-14,0,0,city
1200385,2020-04-14,3,0,city
1200807,2020-04-14,0,0,city
1200401,2020-04-14,6,0,city
12,2020-04-14,9,0,state
1200013,2020-04-15,0,0,city
1200138,2020-04-15,0,0,city
1200203,2020-04-15,0,0,city
1200385,2020-04-15,0,1,city
1200807,2020-04-15,0,0,city
1200401,2020-04-15,2,0,city
12,2020-04-15,2,1,state
1200013,2020-04-16,1,0,city
1200138,2020-04-16,0,0,city
1200203,2020-04-16,0,0,city
1200385,2020-04-16,3,0,city
1200807,2020-04-16,0,0,city
1200401,2020-04-16,10,1,city
12,2020-04-16,14,1,state
1200013,2020-04-17,0,0,city
1200138,2020-04-17,0,0,city
1200203,2020-04-17,0,0,city
1200385,2020-04-17,1,0,city
1200807,2020-04-17,0,0,city
1200401,2020-04-17,19,0,city
12,2020-04-17,20,0,state
1200013,2020-04-18,0,0,city
1200138,2020-04-18,0,0,city
1200203,2020-04-18,0,0,city
1200385,2020-04-18,0,0,city
1200807,2020-04-18,0,0,city
1200401,2020-04-18,7,1,city
12,2020-04-18,7,1,state
1200013,2020-04-19,0,0,city
1200138,2020-04-19,0,0,city
1200203,2020-04-19,3,0,city
1200385,2020-04-19,5,0,city
1200807,2020-04-19,0,0,city
1200401,2020-04-19,11,0,city
1200450,2020-04-19,2,0,city
12,2020-04-19,21,0,state
1200013,2020-04-20,0,0,city
1200138,2020-04-20,0,0,city
1200203,2020-04-20,0,0,city
1200385,2020-04-20,0,0,city
1200807,2020-04-20,0,0,city
