escopo_key,date_key,uf_key,quantidade_autos
19,0,0,2
19,0,1,3
19,0,2,1
19,0,1,5
2,0,1,6330
18,0,0,809
18,0,2,7
18,0,2,41
18,0,3,364
18,0,1,435
18,0,1,2991
18,0,4,10
19,1,3,1
19,1,1,4
18,1,5,89
18,1,5,106
18,1,3,51
18,1,1,400
18,1,4,17
19,2,1,3
2,2,5,631
18,2,0,495
18,2,1,406
18,2,1,453
18,2,4,418
18,2,6,839
19,3,2,1
2,3,5,385
2,3,1,4152
2,3,7,531
18,3,5,100
18,3,5,930
18,3,8,248
18,3,2,6
18,3,2,103
18,3,3,750
18,3,1,353
18,3,1,469
18,3,6,119
18,3,7,65
19,4,0,5
19,4,3,1
19,4,6,1
18,4,9,6
18,4,5,157
18,4,5,1170
18,4,8,19
18,4,0,1
18,4,2,91
18,4,1,365
18,4,1,445
18,4,1,3110
18,4,4,47
18,4,4,72
18,4,4,568
18,4,6,119
18,4,7,45
19,5,5,2
18,5,9,1
18,5,5,84
18,5,8,5
18,5,8,92
18,5,1,353
18,5,6,165
18,5,7,115
19,6,3,1
2,0,7,422
18,0,5,69
18,0,0,57
18,0,3,58
18,0,4,17
18,0,4,154
18,0,6,113
18,0,7,66
19,1,7,2
2,1,7,395
18,1,0,347
18,1,4,339
18,1,6,61
18,1,6,154
18,1,7,55
19,2,1,1
19,2,1,2
19,2,6,1
18,2,5,103
18,2,3,31
18,2,4,12
18,2,6,207
18,2,7,74
19,3,1,1
19,3,1,1
19,3,4,1
18,3,8,7
18,3,0,164
18,3,0,948
18,3,3,73
18,3,3,98
18,3,4,792
18,3,7,535
19,4,0,1
18,4,0,282
18,4,2,32
18,4,3,540
18,4,6,794
18,4,7,55
19,5,0,2
19,5,0,3
19,5,1,5
19,5,7,2
2,5,1,4073
18,5,8,14
18,5,0,3
18,5,0,653
18,5,0,781
18,5,3,128
18,5,1,2117
18,5,4,82
18,5,6,189
18,5,7,138
18,5,7,536
19,6,0,7
19,6,6,1
2,6,8,437
2,6,1,5205
18,6,5,257
18,6,8,5
18,6,8,102
18,6,0,1564
18,6,2,1
18,6,3,670
2,6,5,63
2,6,0,1023
18,6,8,56
18,6,0,1
18,6,3,137
18,6,1,316
18,6,4,77
18,6,6,212
18,6,7,128
2,7,1,4143
18,7,9,13
18,7,5,247
18,7,0,4
18,7,3,561
18,7,1,350
18,7,4,130
19,8,0,1
19,8,1,4
2,8,7,2301
18,8,8,358
18,8,10,260
18,8,6,30
18,9,5,60
18,9,5,102
18,9,0,3
18,9,3,109
18,9,1,461
18,9,4,36
18,9,7,326
19,10,0,1
2,10,5,193
2,10,8,1740
2,10,10,12
18,10,5,64
18,10,0,711
18,10,1,724
18,10,4,46
18,10,6,292
19,11,5,1
19,11,7,1
18,11,8,149
18,11,8,380
18,11,10,49
18,11,3,72
19,12,1,2
2,12,5,136
2,12,7,748
18,12,5,96
18,12,10,22
18,12,10,26
18,12,10,236
18,12,3,25
18,12,3,29
18,12,1,459
18,12,4,51
18,12,6,677
18,6,4,86
18,6,6,204
19,7,3,1
19,7,3,2
19,7,6,2
2,7,0,1853
2,7,7,1614
18,7,0,1697
18,7,3,148
18,7,1,260
18,7,4,81
18,7,4,443
18,7,6,144
19,8,3,1
19,8,3,1
19,8,1,2
19,8,1,8
2,8,8,1723
2,8,0,3363
2,8,1,4811
18,8,5,65
18,8,8,43
18,8,0,2
18,8,0,434
18,8,10,54
18,8,10,70
18,8,3,162
18,8,7,134
19,9,0,1
19,9,1,1
19,9,1,2
19,9,7,2
2,9,7,1442
18,9,5,345
18,9,0,251
18,9,10,279
18,9,3,362
18,9,1,317
18,9,6,141
18,9,6,622
19,10,1,4
18,10,8,49
18,10,8,58
18,10,3,101
18,10,3,124
18,10,3,157
18,10,1,257
18,10,6,193
18,10,7,195
19,11,5,1
19,11,0,1
19,11,10,1
19,11,1,1
2,11,5,194
2,11,10,330
18,11,5,124
18,11,5,136
18,11,8,151
18,11,0,192
18,11,10,77
18,11,3,103
18,11,1,441
18,11,1,711
18,11,4,23
18,11,4,31
18,11,6,272
19,12,0,1
19,12,1,4
2,12,10,899
2,12,1,2022
18,12,5,71
18,12,8,126
18,12,8,353
18,12,0,754
18,12,3,44
18,12,1,372
18,12,6,353
18,12,7,103
19,0,1,2
19,0,6,3
2,0,5,41
18,0,0,172
18,0,3,33
18,0,6,478
18,0,7,46
18,0,7,443
19,1,1,1
19,1,1,3
2,1,1,6508
18,1,0,32
18,1,0,84
18,1,1,276
18,1,1,3275
18,1,4,33
18,1,6,626
18,1,7,50
18,1,7,386
19,2,5,1
2,2,7,1074
18,2,5,125
18,2,5,1155
18,2,0,33
18,2,0,78
18,2,3,59
18,2,3,363
18,2,1,3437
18,2,4,26
18,2,6,81
18,2,7,46
19,3,0,3
19,3,2,1
19,3,6,2
2,3,0,233
18,3,0,37
18,3,6,238
18,3,7,66
19,4,1,1
2,4,5,215
2,4,8,798
2,4,1,3464
18,4,5,135
18,4,8,3
18,4,8,99
18,4,8,562
18,4,0,98
18,4,2,9
18,4,3,107
2,5,5,415
2,5,8,962
2,5,0,1744
2,5,7,804
18,5,5,593
18,5,8,256
18,5,0,174
18,5,2,52
18,5,3,125
18,5,1,442
18,5,4,50
19,6,1,1
19,6,1,4
2,6,7,832
18,6,5,63
18,6,5,112
18,6,8,317
18,6,0,254
18,6,2,4
18,6,4,223
18,6,7,108
19,7,3,1
19,7,1,6
19,7,7,2
2,7,5,20
18,7,5,62
18,7,5,87
18,7,8,65
18,7,8,194
18,7,0,183
18,7,10,47
18,7,10,209
18,7,7,403
19,8,7,2
18,8,5,287
18,8,0,1446
18,8,3,643
18,8,1,347
18,8,1,456
18,8,1,1894
18,8,4,74
18,8,7,735
2,9,8,1964
2,9,0,1858
18,9,8,72
18,9,8,455
18,9,1,1713
18,9,4,235
18,9,6,164
19,10,5,1
19,10,1,4
19,10,4,1
2,10,1,4392
18,10,9,5
18,10,5,94
18,10,5,256
18,10,4,57
18,10,6,169
19,11,1,4
2,11,8,1021
2,11,0,637
2,11,1,3099
18,11,5,374
18,11,0,131
18,11,3,112
18,11,1,320
18,11,4,177
18,11,7,205
19,12,0,3
2,12,0,172
18,12,1,803
18,12,4,7
18,12,4,10
18,12,6,330
19,0,5,1
18,0,5,95
18,0,5,939
18,0,2,83
18,0,1,1
18,0,1,307
18,0,6,51
2,1,5,762
18,1,5,816
18,1,8,1
18,1,3,81
18,1,3,414
19,2,7,2
2,2,1,6943
18,2,7,488
19,3,1,1
2,3,8,347
18,3,5,78
18,3,8,35
18,3,2,37
18,3,1,3512
18,3,4,40
18,3,4,65
18,3,6,1013
19,4,1,3
19,4,1,4
2,4,0,1041
2,4,7,1305
18,4,0,1339
18,4,3,65
18,4,6,211
18,4,7,384
19,5,1,4
18,5,5,135
18,5,2,11
18,5,2,22
18,5,3,444
18,5,4,24
18,5,6,702
19,6,0,2
19,6,1,3
18,6,0,328
18,6,2,14
18,6,3,161
18,6,1,425
18,6,1,2077
18,6,6,798
18,6,7,561
19,7,0,1
19,7,0,2
2,7,8,930
18,7,8,7
18,7,8,458
18,7,0,476
18,7,10,46
